 Program ; Operating system ; License ; Costs ; Protocols ; Codec ; Encryption ; Max conference peers ; Other abilities ; Latest release 
rh| Linphone ; Linux, Windows, macOS, Android, iPhone, BlackBerry ; GPL v.3 ; free ; SIP ; Speex, Opus, G711, GSM, G.722, VP8 (WebM), H263, MPEG4, Theora and H264 (plugin) ; TLS, SRTP, ZRTP ; Unk ; Video, IM, STUN, IPv6 (disables IPv4 support when enabled, P2P, Secure Encrypion, User own Encryption via Provided API [) ; 4.1.1, 30, provides daily snapshots via  
rh| Messages ; macOS ; proprietary ; free, only macOS and iOS ; SIP AIM ICQ XMPP ; H263, H264 ; Unk ; Unk ; Integrated, PBX independent ; 7.0, 25 
rh| MicroSIP ; Windows ; GPL ; free ; SIP, STUN, ICE, SIMPLE ; Speex, iLBC, GSM, G.711, G.722, G.729, SILK, Linear PCM ; TLS, SRTP ; Unk ; Video, voice, IM and Presence ; Latest stable software release/MicroSIP 
rh| Mirial Softphone (Mirial s.u.r.l.) ; Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86) ; proprietary ; not free ; SIP, RTSP ; H.323 ; DTLS-SRTP ; Unk ; H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL) ; 7.0.24, 26, discontinued 
rh| Mumble ; Linux, macOS, iOS, Windows, Android ; New BSD license ; free ; ICE ; CELT, Speex, Opus ; TLS and OCB-AES128 ; No limit (limited only by server bandwidth and memory) ;Chat with (limited) embedded HTML, Automatic Gain Control, very low latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation ; 1.3.0, 07 
rh| Nymgo ; Windows, Android, iOS ; proprietary ; free ; SIP, RTP and RTCP ; Unk ; Yes ; No limit ;Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition ; 4.2.9, 03 
rh| oovoo ; macOS, iOS, Windows, Android ; proprietary ; free ; SIP, RTP and RTCP ; Unk ; Yes ; 12 ;Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition ; 4.2.9, 03 
rh| Phoner ; Windows ; proprietary ; free ; SIP, TAPI, CAPI ; G.711, G.711, G.722, G.726, G.729, GSM, iLBC, speex, Opus ; TLS, SRTP, ZRTP ; 8 ; Conferencing, call redirection, call recording ; Latest stable software release/Phoner 
rh| PhonerLite ; Windows ; proprietary ; free ; SIP ; G.711, G.711, G.722, G.726, G.729, GSM, iLBC, speex, Opus ; TLS, SRTP, ZRTP ; 8 ; Conferencing, call redirection, call recording ; Latest stable software release/PhonerLite 
rh| QuteCom ; Linux, macOS, Windows XP-2000 ; GPL ; free ; SIP ; G.711, G.729, iLBC, AMR-NB, G.722, Speex, AMR-WB (G.722.2),  H.263, H.263+, H.264, Dirac ; SRTP, but key exchange via Everbee key Exchange which is not a Standard ; Unk ; Video, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), voicemail, wengo to phone, conferencing. ; Latest stable software release/QuteCom 
rh| Roger Wilco GameSpy ; Windows ; proprietary ; dunno ; Proprietary ; dunno ; dunno ; Unk ; dunno ; 2001 
rh| Signal ; Linux, macOS, Windows, Android, iPhone ; GPLv3 clients and AGPLv3 server ; free ;RingRTC (WebRTC over Signal protocol) ;Opus ; dunno ; Unk ; Signal also allows users to send text messages, files, voice notes, pictures, GIFs, and video messages over a Wi-Fi or data connection to other Signal users on iOS, Android and a desktop app. The app also supports group messaging, read receipts and typing indicators, both of which can be disabled. ; Latest stable software release/Signal (software) 
rh| Skype ; Linux(with limited functionality), macOS, Windows 2000-XP-Vista-7-Mobile (unsupported), BREW, Windows Phone, Android, iPhone, PSP ; proprietary ; free ;ProprietaryP2Pprotocol It is possible to connect by SIP to the Skype network via additional "Skype Connect" PBX software and alternative (SIP) client software/hardware. Neither the Skype software nor the Skype network supports SIP directly ; SILK ; TLS ; 25 starting with version 3.6.0.216. 10 with 2.x ; Conferencing, video, file transfer, voicemail, Skype to phone, phone to Skype, additional P2P extensions (games, whiteboard, etc...), depending on platform. ; Latest stable software release/Skype 
rh| TeamSpeak ; Linux, Windows, macOS, FreeBSD, Android, iOS ; proprietary ; free ; Unk ; CELT, Speex (both until server version 3.5.0), Opus ; Yes ; 32 unlicensed, 512 with Non-Profit License (available until September 2018), up to 1024 (Gamer License), 2000 ; Simultaneous server conferencing with tabs, 3D sound effects, scalable permissions system, firewall friendly file transfers, in-game overlay for DirectX & OpenGL games, global public server list, plugin system ; 3.5.2, 02 
rh| TeamTalk ; Linux, Windows, macOS, Android, iOS, Raspbian ; proprietary ; free ; proprietary ; Opus, Speex, WebM ; No ; 1000 ; Video, file sharing, desktop sharing, stream media files (MP3, AVI) ; 5.3.3, 11 
rh| TeamViewer ; Linux, Windows, macOS, iOS, Android{{cite web|title=TeamViewer overview|url= ; proprietary ; free (personal use only) ; Unk ; Unk ; AES256 ; Unk ; Unk ; Latest stable software release/TeamViewer 
rh| Telephone ; macOS 10.10.2 ; BSD ; free ; SIP, STUN, ICE ; Unk ; No ; Unk ; Address Book integration ; 1.1.4, 06 
rh| Toktumi Unlimited, Line2 Pro ; Windows XP-Vista-7, macOS, iOS, Android ; proprietary ; free ; Proprietary with SIP core ; Unk ; Unk ; 20 ; Conferencing, voicemail, caller ID, call-waiting, address book integration, auto-attendant, call-forwarding ; Windows, 08, macOS, 10 
rh| Tox ; Linux, macOS, Windows, Android, FreeBSD ; GPL ; free ; Tox, VP8 ; Opus, ; NaCl ; Unk ; Voice, video, instant messaging, file transfers ; Unk 
rh| Tru App ; Windows 2000-XP-Vista-7, macOS, LinuxiOS, Android, Symbian, BlackBerry OS, ; proprietary ; free ; SIP, XMPP ; Unk ; Unk ; Unk ; Chat, file transfer, voicemail, inbound numbers, integration with GTalk, Microsoft Live, Skype ; 
rh| Tuenti ; Android, iPhone, Windows Phone ; proprietary ; free ; WebRTC, SIP, XMPP ; iLBC, Opus ; Yes ; Unk ; Voice, video, Instant messaging, group chat, photo and video sharing, SMS and MMS, native and social network contacts integration, incoming call/IM push notifications. ;  
rh| Twinkle ; Linux ; GPL ; free ; SIP ; G.711 A-law μ-law, G.726, GSM, iLBC, Speex narrow wide ultrawide ; SRTP, ZRTP ; 3 ; Conferencing, chat, file transfer, Firefox integration, call redirection, voicemail, support of VoIP-to-Phone services ; Latest stable software release/Twinkle 
rh| Ventrilo ; macOS, Windows, iOS, Android ; proprietary ; free ; Unk ; Unk ; No ; 8 ; Conferencing, chat, text-to-speech ; 3.0.8 
rh| Viber ; Linux,Viber must be first installed on a mobile phone to function on a desktop operating systemname=viber-desktop-restrictionViber Unveils Desktop App macOS,name=viber-desktop-restriction Windows, Android, Bada, BlackBerry OS, iOS, Series 40, Symbian, Windows Phone ; proprietary ; dunno ; Unk ; Unk ; Yes ; Unk ; Varies by platform: Text, picture and video messaging on all, voice calling only on iPhone, Android and Microsoft's Windows Phone ; Latest stable software release/Viber 
rh|Vonage ;Linux, macOS, Windows, Android, iOS ; proprietary ;not free ;SIP, STUN, ICE, TURN ;Audio: Opus, G.711 Video: VP8 ;SRTP ;50 ;VoIP, video, instant messaging, presence (SIP SIMPLE), PSTN (inbound and outbound), call waiting, call hold, call forwarding, voicemail, message-waiting indication, 3-way conferencing, contacts integration, receptionist console, video, group chat, content sharing, SMS over IP services, native and social network contacts integration, incoming call/IM push notifications, fax, file sharing, screen sharing (desktop only), number programmability. 
rh| Wire ; Linux, Windows, macOS, iOS, Android, Web ; GPLv3 ;not free ; dunno ; Audio: Opus Video: VP8 ; DTLS, SRTP ; 10language=en ; End-to-end encryption by default for everything, instant messaging, video call, video group call, file sharing, GIF sharing, push to talk, edit message, delete message (on both side), timed messages, doodling, identity verification, screen sharing (desktop only) ; dunno 
rh|X-Lite ; macOS, Windows ; proprietary ; free ; SIP, STUN, ICE, TURN ; H.263, H.263+, G.711, iLBC, Speex ; no ; 3 ; VoIP over WiFi, 3G, 4G, video, instant messaging, presence (SIP SIMPLE), call waiting, call hold, call forwarding, voice mail, message waiting indication, 3 way conferencing, contacts integration, background noise reduction (BNR), automatic gain control (AGC) ; 5.3.3 10 
rh| Yahoo! Messenger ; Classic Mac OS (8, 9), macOS, Windows, (Linux, FreeBSD version VoIP incapable) ; proprietary ; free ; SIP (using TLS) and RTP (media) ; Unk ; Unk ; Unk ; Video, file transfer, PC to phone, phone to PC ; '''Windows''': 11.5.0.228, 31<!--  
rh| Yate Client ; Linux, macOS, Windows ; GPL ; free ; SIP, IAX, XMPP, H.323 ; G.711, G.711, GSM 06.10, iLBC, Speex, G.723, G.726, G.728, G.729 ; SRTP, maybe ZRTP? ; Unk ;  ; 6.0.0, 09 
rh| Zfone ; Linux, macOS, Windows ; proprietary (with viewable source) ; Includes time bomb provision ; SIP, RTP ; Unk ; SRTP, ZRTP ; Unk ;  ; Beta 2008-09-04 (Linux 0.9.224), (macOS 0.9.246), (Windows 0.9.206) 
